dist,x,y,height,dsm,dtm
173.8188566,243323.1914,80465.7506,41.116657,270.579987,229.42926
175.0012978,243323.822,80464.75035,38.407391,267.75,229.354492
176.183739,243324.4526,80463.75009,38.182796,267.450012,229.234238
177.3661802,243325.0832,80462.74983,23.768612,252.929993,229.141052
178.5486214,243325.7138,80461.74958,41.547623,270.700012,229.123611
179.7310626,243326.3444,80460.74932,40.741737,269.73999,228.959885
180.9135038,243326.975,80459.74906,48.353764,277.290009,228.948029
182.095945,243327.6056,80458.7488,51.853378,280.769989,228.92778
183.2783862,243328.2362,80457.74855,52.115036,280.98999,228.900848
184.4608274,243328.8668,80456.74829,52.363842,281.209991,228.819382
185.6432686,243329.4974,80455.74803,52.707474,281.579987,228.882584
186.8257098,243330.128,80454.74777,50.931358,279.980011,229.098984
188.008151,243330.7585,80453.74752,62.107948,291.570007,229.5
